customer_id,cluster,segment_name,recency_days,frequency,monetary_total,tenure_days,distinct_products,spend_ratio_90d,clv,is_churned,churn_probability
16518,0,Declining / Moderate value,101,3,665.75,373,39,0.0,268.41,False,0.4771506547927856
16190,0,Declining / Moderate value,211,7,2508.47,542,88,0.0,625.52,False,0.3301503419876098
16197,0,Declining / Moderate value,286,9,2016.71,540,52,0.0,172.75,True,0.4771506547927856
13884,0,Declining / Moderate value,94,8,1297.13,287,87,0.0,557.84,False,0.2535876214504242
16199,0,Declining / Moderate value,209,7,942.75,448,2,0.0,241.94,True,0.4797847986221313
16200,0,Declining / Moderate value,199,10,4562.83,554,241,0.0,974.36,False,0.215291142463684
16202,0,Declining / Moderate value,177,9,2501.99,554,105,0.0,636.62,True,0.215291142463684
13878,0,Declining / Moderate value,364,3,1191.53,421,59,0.0,115.82,False,0.5402782797813416
16204,0,Declining / Moderate value,197,2,538.53,548,47,0.0,149.55,False,0.6189089059829712
13889,0,Declining / Moderate value,199,5,1574.33,503,50,0.0,410.82,False,0.4331237733364105
16205,0,Declining / Moderate value,213,3,1069.23,359,89,0.0,396.11,False,0.4531506597995758
13872,0,Declining / Moderate value,344,3,919.57,542,51,0.0,201.97,True,0.5815135836601257
16212,0,Declining / Moderate value,100,3,1101.52,487,61,0.0,352.43,False,0.4933562397956848
16221,0,Declining / Moderate value,92,8,1684.57,303,116,0.0,677.71,False,0.1849092006683349
16222,0,Declining / Moderate value,135,2,1345.22,538,133,0.0,396.2,True,0.5609864950180053
16223,0,Declining / Moderate value,191,2,1102.35,212,101,0.0,384.42,True,0.5245869994163513
16228,0,Declining / Moderate value,202,3,890.81,217,45,0.0,311.92,True,0.5245869994163513
13857,0,Declining / Moderate value,210,6,1000.91,388,98,0.0,273.05,True,0.4331237733364105
13855,0,Declining / Moderate value,317,4,1310.34,548,64,0.0,266.36,True,0.5561647295951844
13874,0,Declining / Moderate value,175,7,2049.15,490,46,0.0,592.47,True,0.2897193640470504
13890,0,Declining / Moderate value,175,5,1233.92,550,50,0.0,324.54,False,0.4331237733364105
13891,0,Declining / Moderate value,195,3,863.56,399,97,0.0,214.66,True,0.4797847986221313
13895,0,Declining / Moderate value,332,2,1415.45,553,67,0.0,238.28,False,0.6157037734985351
13945,0,Declining / Moderate value,211,2,854.15,296,49,0.0,228.81,True,0.5786124467849731
13939,0,Declining / Moderate value,128,5,1176.91,429,62,0.0,404.6,False,0.3629832744598388
16134,0,Declining / Moderate value,176,4,1810.78,357,71,0.0,404.04,False,0.3059490740299225
16138,0,Declining / Moderate value,195,3,910.35,407,35,0.0,180.44,True,0.4771506547927856
16147,0,Declining / Moderate value,217,4,2023.91,489,101,0.0,469.9,False,0.4284809172153473
13929,0,Declining / Moderate value,143,10,3064.3,511,38,0.0,902.62,False,0.1849092006683349
13922,0,Declining / Moderate value,168,3,865.2,284,30,0.0,257.94,True,0.4771506547927856
13921,0,Declining / Moderate value,219,4,730.7,538,36,0.0,207.55,True,0.5355163812637329
13920,0,Declining / Moderate value,248,4,1774.68,379,81,0.0,414.95,True,0.4531506597995758
13919,0,Declining / Moderate value,241,2,903.87,357,44,0.0,189.57,False,0.6189089059829712
16155,0,Declining / Moderate value,198,5,796.9,356,45,0.0,240.65,True,0.4771506547927856
13916,0,Declining / Moderate value,280,4,1275.81,492,72,0.0,275.61,True,0.5451519966125489
16158,0,Declining / Moderate value,339,9,628.32,551,29,0.0,25.41,True,0.5687768220901489
16159,0,Declining / Moderate value,98,4,1232.79,553,31,0.0,317.67,True,0.4571237683296204
16167,0,Declining / Moderate value,231,5,1386.12,555,51,0.0,286.01,True,0.4771506547927856
16174,0,Declining / Moderate value,308,4,1237.2,420,15,0.0,234.5,False,0.5355163812637329
16176,0,Declining / Moderate value,238,4,2052.69,437,53,0.0,463.5,True,0.4820705235004425
16177,0,Declining / Moderate value,253,7,1915.36,464,66,0.0,375.87,False,0.4571237683296204
13897,0,Declining / Moderate value,255,2,849.56,494,42,0.0,175.14,False,0.6079378128051758
16231,0,Declining / Moderate value,196,4,1078.22,414,69,0.0,313.3,True,0.4750394463539124
16130,0,Declining / Moderate value,239,4,987.48,434,53,0.0,274.11,True,0.5355163812637329
